date,sales
2010-12-01,26814
2010-12-02,21023
2010-12-03,14830
2010-12-05,16395
2010-12-06,21419
2010-12-07,24995
2010-12-08,22741
2010-12-09,18431
2010-12-10,20297
2010-12-12,10565
2010-12-13,17623
2010-12-14,20098
2010-12-15,18229
2010-12-16,29632
2010-12-17,16069
2010-12-19,3795
2010-12-20,14965
2010-12-21,15467
2010-12-22,3192
2010-12-23,5648
2011-01-04,7939
2011-01-05,18435
2011-01-06,22461
2011-01-07,16475
2011-01-09,8181
2011-01-10,9014
2011-01-11,29093
2011-01-12,10133
2011-01-13,10114
2011-01-14,23091
2011-01-16,4181
2011-01-17,13345
2011-01-18,8664
2011-01-19,17108
2011-01-20,8720
2011-01-21,14938
2011-01-23,5194
2011-01-24,11910
2011-01-25,14793
2011-01-26,10854
2011-01-27,10974
2011-01-28,17414
2011-01-30,3367
2011-01-31,12568
2011-02-01,15340
2011-02-02,9355
2011-02-03,16935
2011-02-04,11367
2011-02-06,2048
2011-02-07,8679
2011-02-08,10201
2011-02-09,7148
2011-02-10,11447
2011-02-11,9831
2011-02-13,2715
2011-02-14,13469
2011-02-15,22533
2011-02-16,15990
2011-02-17,14544
2011-02-18,8165
2011-02-20,5346
2011-02-21,21456
2011-02-22,21448
2011-02-23,13622
2011-02-24,11724
2011-02-25,9888
2011-02-27,4858
2011-02-28,9880
2011-03-01,12120
2011-03-02,8495
2011-03-03,18414
2011-03-04,13332
2011-03-06,4989
2011-03-07,13715
2011-03-08,6918
2011-03-09,4458
2011-03-10,15767
2011-03-11,10465
2011-03-13,2741
2011-03-14,16717
2011-03-15,8918
2011-03-16,12583
2011-03-17,20589
2011-03-18,13756
2011-03-20,14165
2011-03-21,10201
2011-03-22,14884
2011-03-23,11283
2011-03-24,18157
2011-03-25,13303
2011-03-27,4408
2011-03-28,13125
2011-03-29,32413
2011-03-30,19719
2011-03-31,16237
2011-04-01,17374
2011-04-03,5660
2011-04-04,13045
2011-04-05,14763
2011-04-06,8576
2011-04-07,10356
2011-04-08,9230
2011-04-10,5526
2011-04-11,13499
2011-04-12,15121
2011-04-13,18100
2011-04-14,17401
2011-04-15,12726
2011-04-17,8181
2011-04-18,22246
2011-04-19,14383
2011-04-20,17973
2011-04-21,18253
2011-04-26,15665
2011-04-27,17836
2011-04-28,13184
2011-05-01,3814
2011-05-03,11867
2011-05-04,15765
2011-05-05,17331
2011-05-06,19632
2011-05-08,10692
2011-05-09,12951
2011-05-10,17719
2011-05-11,16233
2011-05-12,36141
2011-05-13,15074
2011-05-15,4898
2011-05-16,14484
2011-05-17,26886
2011-05-18,18785
2011-05-19,17783
2011-05-20,15154
2011-05-22,12736
2011-05-23,16443
2011-05-24,15629
2011-05-25,11839
2011-05-26,16192
2011-05-27,16713
2011-05-29,4084
2011-05-31,11546
2011-06-01,10880
2011-06-02,13838
2011-06-03,7557
2011-06-05,13470
2011-06-06,9167
2011-06-07,18462
2011-06-08,20784
2011-06-09,30275
2011-06-10,8134
2011-06-12,9482
2011-06-13,9387
2011-06-14,-13752
2011-06-15,29978
2011-06-16,18178
2011-06-17,11678
2011-06-19,15060
2011-06-20,15518
2011-06-21,7846
2011-06-22,15769
2011-06-23,14272
2011-06-24,9827
2011-06-26,3495
2011-06-27,9835
2011-06-28,19642
2011-06-29,11544
2011-06-30,21297
2011-07-01,7358
2011-07-03,3106
2011-07-04,15682
2011-07-05,21696
2011-07-06,19275
2011-07-07,18956
2011-07-08,11681
2011-07-10,4214
2011-07-11,14989
2011-07-12,13760
2011-07-13,16206
2011-07-14,16904
2011-07-15,6841
2011-07-17,11042
2011-07-18,14366
2011-07-19,26287
2011-07-20,16795
2011-07-21,19747
2011-07-22,10019
2011-07-24,17271
2011-07-25,15457
2011-07-26,13560
2011-07-27,13859
2011-07-28,29700
2011-07-29,11472
2011-07-31,20873
2011-08-01,9947
2011-08-02,15624
2011-08-03,15660
2011-08-04,37992
2011-08-05,12200
2011-08-07,5080
2011-08-08,13104
2011-08-09,15605
2011-08-10,14228
2011-08-11,40191
2011-08-12,11962
2011-08-14,3135
2011-08-15,10141
2011-08-16,11213
2011-08-17,23567
2011-08-18,33122
2011-08-19,10609
2011-08-21,8164
2011-08-22,15387
2011-08-23,15112
2011-08-24,29288
2011-08-25,13184
2011-08-26,17756
2011-08-28,6770
2011-08-30,10182
2011-08-31,6976
2011-09-01,27829
2011-09-02,10725
2011-09-04,10941
2011-09-05,23484
2011-09-06,14959
2011-09-07,16211
2011-09-08,16944
2011-09-09,16100
2011-09-11,21122
2011-09-12,17086
2011-09-13,36904
2011-09-14,9590
2011-09-15,29181
2011-09-16,15166
2011-09-18,8966
2011-09-19,28973
2011-09-20,43702
2011-09-21,19581
2011-09-22,32263
2011-09-23,21222
2011-09-25,19329
2011-09-26,14948
2011-09-27,21060
2011-09-28,25157
2011-09-29,26365
2011-09-30,22009
2011-10-02,8380
2011-10-03,24652
2011-10-04,18689
2011-10-05,46161
2011-10-06,31268
2011-10-07,30431
2011-10-09,7275
2011-10-10,25405
2011-10-11,20091
2011-10-12,15525
2011-10-13,17859
2011-10-14,17475
2011-10-16,8311
2011-10-17,30214
2011-10-18,28960
2011-10-19,19039
2011-10-20,40802
2011-10-21,24728
2011-10-23,7068
2011-10-24,21514
2011-10-25,24686
2011-10-26,20865
2011-10-27,32301
2011-10-28,23845
2011-10-30,20062
2011-10-31,4926
2011-11-01,16686
2011-11-02,28319
2011-11-03,34019
2011-11-04,33546
2011-11-06,23295
2011-11-07,27689
2011-11-08,26124
2011-11-09,36238
2011-11-10,38077
2011-11-11,28513
2011-11-13,20356
2011-11-14,45959
2011-11-15,30221
2011-11-16,29353
2011-11-17,30779
2011-11-18,23535
2011-11-20,19369
2011-11-21,24004
2011-11-22,35284
2011-11-23,37350
2011-11-24,23743
2011-11-25,31026
2011-11-27,11161
2011-11-28,28647
2011-11-29,30511
2011-11-30,26482
2011-12-01,26819
2011-12-02,26952
2011-12-04,12396
2011-12-05,44119
2011-12-06,29026
2011-12-07,39612
2011-12-08,34460
2011-12-09,12949
