Date,sales
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,3.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,3.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,3.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,3.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,3.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,3.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,4.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,3.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,2.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
2019-01-01,1.00
